"model","scenario","run","avg_ms","median_ms","p90_ms","p95_ms","p99_ms","max_ms","req_per_sec","error_rate","checks_rate","iterations"
"hybrid","baseline","4","47.943058","41.8358","72.54102","94.620175",,"196.8834","9.520883","0","1","1150"
"hybrid","baseline","5","45.813097","35.7064","73.851","100.52475",,"346.7172","9.549539","0","1","1151"
"hybrid","edge","1","21.090715","17.18925","38.68263","43.022555",,"78.3347","4.887112","0","1","590"
"hybrid","edge","2","21.196895","17.40325","37.7072","42.36075",,"82.8317","4.885475","0","1","590"
"hybrid","edge","3","22.714543","18.2677","42.7128","50.5566",,"77.6496","4.877642","0","1","590"
"hybrid","edge","4","22.477822","18.19105","39.70424","48.52657",,"110.9633","4.879554","0","1","590"
"hybrid","edge","5","21.773396","17.94285","38.74284","44.165715",,"107.0295","4.882465","0","1","590"
"hybrid","endurance","1","34.76696","28.1591","56.95826","70.45522",,"632.4956","19.30006","0","1","11593"
"hybrid","endurance","2","34.99067","28.2324","57.6977","71.3337",,"598.4938","19.302951","0","1","11601"
"hybrid","endurance","3","45.361907","28.6556","60.72084","81.5262",,"2256.4224","19.11289","0","1","11479"
"hybrid","endurance","4","32.294923","27.01495","52.04529","64.47291",,"510.6082","19.337626","0","1","11622"
"hybrid","endurance","5","41.644431","26.4959","55.61368","73.772865",,"3411.2026","19.177059","0","1","11524"
"hybrid","spike","1","136.299106","77.2855","285.29564","404.02488",,"2113.8637","47.161184","0","1","8509"
"hybrid","spike","2","113.608595","62.3727","265.0415","362.87078",,"1473.0247","48.060819","0","1","8677"
"hybrid","spike","3","136.154367","81.948","285.0599","397.2347",,"1350.5414","46.977524","0","1","8501"
"hybrid","spike","4","124.141795","69.2428","260.29088","383.27782",,"1375.589","47.59428","0","1","8593"
"hybrid","spike","5","110.312372","70.9871","236.67732","323.05012",,"1162.9633","48.113171","0","1","8702"
"hybrid","stress","1","122.225351","28.47275","71.59166","542.57534",,"4461.7932","28.385167","0","1","8530"
"hybrid","stress","2","51.837237","31.02815","73.13157","102.79795",,"1582.5594","30.322215","0","1","9098"
"hybrid","stress","3","39.826099","29.7124","73.34714","96.0235",,"647.0254","30.669573","0","1","9205"
"hybrid","stress","4","102.789638","38.066","107.55917","279.19874",,"3450.5625","28.888956","0","1","8680"
"hybrid","stress","5","49.357501","30.89425","64.51982","85.31146",,"1527.731","30.329631","0","1","9124"
"partial-grpc","baseline","1","52.74062","44.4305","87.2472","113.581",,"188.8899","9.485318","0","1","1141"
"partial-grpc","baseline","2","54.569207","47.7823","87.34792","109.4267",,"204.1439","9.465635","0","1","1144"
"partial-grpc","baseline","3","49.739221","41.1098","77.5552","105.91578",,"186.6237","9.468718","0","1","1145"
"partial-grpc","baseline","4","51.54014","41.1028","95.36686","114.49722",,"240.9286","9.482127","0","1","1145"
"partial-grpc","baseline","5","51.35925","42.9177","78.738","102.2657",,"221.8927","9.497846","0","1","1141"
"partial-grpc","edge","1","23.259477","18.06935","40.55565","47.679175",,"131.9038","4.876439","0","1","590"
"partial-grpc","edge","2","22.795571","17.4412","41.27926","47.753655",,"106.1738","4.879023","0","1","590"
"partial-grpc","edge","3","22.252255","17.84535","39.95378","45.09215",,"79.0189","4.882037","0","1","590"
"partial-grpc","edge","4","22.450777","17.8102","40.65191","45.123625",,"110.9641","4.881531","0","1","590"
"partial-grpc","edge","5","23.647003","18.6584","42.76234","50.02436",,"128.9598","4.867831","0","1","589"
"partial-grpc","endurance","1","39.071236","29.6925","59.45296","77.8789",,"1372.6419","19.2301","0","1","11549"
"partial-grpc","endurance","2","38.310855","30.76755","61.22211","76.48066",,"711.5833","19.23863","0","1","11562"
"partial-grpc","endurance","3","38.474749","30.7932","62.15818","77.87914",,"504.899","19.229244","0","1","11557"
"partial-grpc","endurance","4","48.689997","31.7553","73.1886","103.85467",,"1623.7831","19.04324","0","1","11443"
"partial-grpc","endurance","5","54.624459","29.8419","65.22145","89.235275",,"7839.3584","18.937428","0","1","11374"
"partial-grpc","spike","1","175.514113","100.26985","418.23775","578.42375",,"1475.5869","45.403194","0","1","8216"
"partial-grpc","spike","2","196.55061","102.59945","482.35356","631.809905",,"2056.2816","44.7654","0","1","8078"
"partial-grpc","spike","3","437.848331","130.534","910.3378","2082.89278",,"7870.3824","37.194029","0","1","6727"
"partial-grpc","spike","4","238.751986","117.4836","545.3282","926.83667",,"3122.7678","43.266621","0","1","7800"
"partial-grpc","spike","5","109.338922","58.84945","259.12708","376.003485",,"1233.5892","48.322987","0","1","8708"
"partial-grpc","stress","1","132.797628","38.9155","143.83996","692.694615",,"3616.1075","28.115756","0","1","8450"
"partial-grpc","stress","2","43.622932","33.9677","67.38683","87.927895",,"919.4682","30.463825","0","1","9170"
"partial-grpc","stress","3","57.014567","38.6377","96.93174","145.13495",,"987.5007","30.15305","0","1","9055"
"partial-grpc","stress","4","185.00619","40.79725","416.8542","1103.74357",,"8310.0244","26.761769","0","1","8102"
"partial-grpc","stress","5","58.273848","40.0224","90.58375","123.59263",,"1457.8242","30.158115","0","1","9048"
"rest","baseline","1","57.96243","47.189","86.20922","119.13482",,"536.5564","9.421389","0","1","1137"
"rest","baseline","2","48.29467","41.5209","70.17671","92.73024",,"197.8765","9.515484","0","1","1150"
"rest","baseline","3","59.124285","49.8639","88.61655","126.6268",,"286.9317","9.384254","0","1","1136"
"rest","baseline","4","48.436951","39.3091","78.6299","93.718575",,"236.908","9.517735","0","1","1146"
"rest","baseline","5","57.717388","51.2351","85.91796","108.14709",,"276.7879","9.404495","0","1","1138"
"rest","edge","1","23.291604","18.0568","41.72988","49.341495",,"111.942","4.875939","0","1","590"
"rest","edge","2","21.948993","16.60535","43.4525","47.604745",,"80.1954","4.884155","0","1","590"
"rest","edge","3","22.190933","16.9415","41.87888","50.802295",,"88.0375","4.882339","0","1","590"
"rest","edge","4","21.376784","16.86485","39.11393","45.63443",,"88.0482","4.886329","0","1","590"
"rest","edge","5","23.603922","18.7447","43.14438","52.350225",,"109.1311","4.858704","0","1","588"
"rest","endurance","1","53.687795","31.1213","66.9832","87.8649",,"3738.8776","18.957119","0","1","11388"
"rest","endurance","2","35.336864","30.0277","56.6118","70.81893",,"466.8261","19.278956","0","1","11587"
"rest","endurance","3","35.849898","28.9196","57.34638","75.23727",,"366.1737","19.276316","0","1","11583"
"rest","endurance","4","45.039749","31.6112","66.63194","87.10526",,"2126.2566","19.100388","0","1","11484"
"rest","endurance","5","38.71806","32.6424","60.34686","73.24156",,"435.8685","19.211189","0","1","11545"
"rest","spike","1","124.092826","68.2232","291.39486","408.2399",,"1178.3484","47.62032","0","1","8593"
"rest","spike","2","184.510985","92.34225","429.81145","671.618625",,"2047.9025","45.080712","0","1","8156"
"rest","spike","3","597.665976","451.1817","1342.05105","1545.301655",,"3251.8873","33.456531","0","1","6048"
"rest","spike","4","278.814167","191.66805","644.98625","836.26358",,"2491.4929","41.827953","0","1","7558"
"rest","spike","5","139.767032","71.88285","353.23992","464.994725",,"1251.5354","46.889231","0","1","8484"
"rest","stress","1","167.725845","32.8207","520.37714","1105.20246",,"3560.8809","27.29587","0","1","8199"
"rest","stress","2","52.849119","37.257","72.4052","93.608975",,"1484.2594","30.275624","0","1","9096"
"rest","stress","3","51.130085","39.0523","83.2684","117.08475",,"772.7629","30.319959","0","1","9111"
"rest","stress","4","35.337604","30.4479","56.0976","67.49833",,"184.8851","30.768532","0","1","9243"
"rest","stress","5","151.493146","37.03665","125.26025","292.0662",,"7536.6476","27.696963","0","1","8326"
